CODE,NAME,SHORTNAME,STATUS,LOGO
567,BANK HARDA INTERNATIONAL,HARDA_INTERNASIONAL,1,bank-default.svg
668,BPR KARYAJATNIKA SADAYA,BPR_KS,1,bank-default.svg
945,BANK AGRIS,AGRIS,1,bank-default.svg
948,BANK OCBC - INDONESIA,OCBC_INDONESIA,1,private/ocbc-nisp.svg
950,BANK COMMONWEALTH,COMMONWEALTH,1,private/commonwealth.svg
DANA,DANA,DANA,1,ewallet/dana.svg
GOPAY,GOPAY,GOPAY,1,ewallet/gopay.svg
LINKAJA,LINKAJA,LINKAJA,1,ewallet/linkaja.svg
OVO,OVO,OVO,1,ewallet/ovo.svg
SHOPEEPAY,SHOPEEPAY,SHOPEEPAY,1,ewallet/shopeepay.svg
